time,emotion
2025-11-25 23:15:18,Calm
2025-11-25 23:15:18,Calm
2025-11-25 23:15:18,Calm
2025-11-25 23:15:18,Calm
2025-11-25 23:15:18,Calm
2025-11-25 23:15:19,Calm
2025-11-25 23:15:19,Calm
2025-11-25 23:15:19,Calm
2025-11-25 23:15:19,Calm
2025-11-25 23:15:20,Calm
2025-11-25 23:15:20,Calm
2025-11-25 23:15:20,Calm
2025-11-25 23:15:20,Calm
2025-11-25 23:15:20,Calm
2025-11-25 23:15:21,Sad
2025-11-25 23:15:21,Calm
2025-11-25 23:15:21,Calm
2025-11-25 23:15:22,Sad
2025-11-25 23:15:22,Calm
2025-11-25 23:15:22,Calm
2025-11-25 23:15:23,Calm
2025-11-25 23:15:23,Calm
2025-11-25 23:15:24,Calm
2025-11-25 23:15:24,Calm
2025-11-25 23:15:24,Happy
2025-11-25 23:15:24,Angry
2025-11-25 23:15:25,Calm
2025-11-25 23:15:25,Calm
2025-11-25 23:15:25,Calm
2025-11-25 23:15:25,Calm
2025-11-25 23:15:26,Surprised
2025-11-25 23:15:26,Calm
2025-11-25 23:15:26,Surprised
2025-11-25 23:15:26,Calm
2025-11-25 23:15:27,Surprised
2025-11-25 23:15:27,Calm
2025-11-25 23:15:27,Surprised
2025-11-25 23:15:27,Calm
2025-11-25 23:15:28,Calm
2025-11-25 23:15:28,Calm
2025-11-25 23:15:28,Calm
2025-11-25 23:15:29,Calm
2025-11-25 23:15:29,Calm
2025-11-25 23:15:30,Calm
2025-11-25 23:15:30,Calm
2025-11-25 23:15:30,Calm
2025-11-25 23:15:30,Calm
2025-11-25 23:15:31,Surprised
2025-11-25 23:15:31,Happy
2025-11-25 23:15:31,Surprised
2025-11-25 23:15:31,Calm
2025-11-25 23:15:32,Surprised
2025-11-25 23:15:32,Calm
2025-11-25 23:15:32,Calm
2025-11-25 23:15:32,Surprised
2025-11-25 23:15:33,Calm
2025-11-25 23:15:33,Calm
2025-11-25 23:15:33,Surprised
2025-11-25 23:15:33,Calm
2025-11-25 23:15:34,Happy
2025-11-25 23:15:34,Calm
2025-11-25 23:15:34,Calm
2025-11-25 23:15:34,Calm
2025-11-25 23:15:35,Happy
2025-11-25 23:15:35,Calm
2025-11-25 23:15:35,Happy
2025-11-25 23:15:35,Calm
2025-11-25 23:15:36,Happy
2025-11-25 23:15:36,Calm
2025-11-25 23:15:36,Happy
2025-11-25 23:15:36,Calm
2025-11-25 23:15:37,Calm
2025-11-25 23:15:37,Calm
2025-11-25 23:15:37,Happy
2025-11-25 23:15:37,Calm
2025-11-25 23:15:38,Happy
2025-11-25 23:15:38,Calm
2025-11-25 23:15:38,Happy
2025-11-25 23:15:38,Calm
2025-11-25 23:15:39,Calm
2025-11-25 23:15:39,Calm
2025-11-25 23:15:39,Calm
2025-11-25 23:15:39,Calm
2025-11-25 23:15:40,Calm
2025-11-25 23:15:40,Calm
2025-11-25 23:15:40,Sad
2025-11-25 23:15:40,Calm
2025-11-25 23:15:41,Calm
2025-11-25 23:15:41,Calm
2025-11-25 23:15:41,Calm
2025-11-25 23:15:42,Calm
2025-11-25 23:15:42,Calm
2025-11-25 23:15:42,Calm
2025-11-25 23:15:43,Calm
2025-11-25 23:15:43,Calm
2025-11-25 23:15:43,Calm
2025-11-25 23:15:44,Calm
2025-11-25 23:15:44,Calm
2025-11-25 23:15:45,Calm
2025-11-25 23:15:45,Calm
2025-11-25 23:15:45,Calm
2025-11-25 23:15:46,Sad
2025-11-25 23:15:46,Calm
2025-11-25 23:15:46,Calm
2025-11-25 23:15:46,Calm
2025-11-25 23:15:47,Calm
2025-11-25 23:15:47,Angry
2025-11-25 23:15:48,Calm
2025-11-25 23:15:48,Sad
2025-11-25 23:15:48,Calm
2025-11-25 23:15:48,Calm
2025-11-25 23:15:49,Calm
2025-11-25 23:15:49,Calm
2025-11-25 23:15:49,Calm
2025-11-25 23:15:49,Calm
2025-11-25 23:15:49,Angry
2025-11-25 23:15:50,Happy
2025-11-25 23:15:50,Calm
2025-11-25 23:15:50,Happy
2025-11-25 23:15:50,Calm
2025-11-25 23:15:51,Calm
2025-11-25 23:15:51,Sad
2025-11-25 23:15:51,Calm
2025-11-25 23:15:51,Sad
2025-11-25 23:15:52,Calm
2025-11-25 23:15:52,Calm
2025-11-25 23:15:52,Calm
2025-11-25 23:15:53,Happy
2025-11-25 23:15:53,Calm
2025-11-25 23:15:53,Calm
2025-11-25 23:15:54,Calm
2025-11-25 23:15:54,Calm
2025-11-25 23:15:54,Surprised
2025-11-25 23:15:55,Calm
2025-11-25 23:15:55,Calm
2025-11-25 23:15:55,Calm
2025-11-25 23:15:56,Surprised
2025-11-25 23:15:56,Calm
2025-11-25 23:15:56,Calm
2025-11-25 23:15:57,Calm
2025-11-25 23:15:57,Calm
2025-11-25 23:15:57,Calm
2025-11-25 23:15:58,Calm
2025-11-25 23:15:58,Calm
2025-11-25 23:15:59,Calm
2025-11-25 23:15:59,Calm
2025-11-25 23:15:59,Calm
2025-11-25 23:16:00,Calm
2025-11-25 23:16:00,Sad
2025-11-25 23:16:01,Sad
2025-11-25 23:16:01,Sad
2025-11-25 23:16:01,Sad
2025-11-25 23:16:02,Calm
2025-11-25 23:16:02,Sad
2025-11-25 23:16:02,Sad
2025-11-25 23:16:03,Happy
2025-11-25 23:16:03,Happy
2025-11-25 23:16:03,Happy
2025-11-25 23:16:04,Happy
2025-11-25 23:16:04,Happy
2025-11-25 23:16:04,Happy
2025-11-25 23:16:05,Happy
2025-11-25 23:16:05,Happy
2025-11-25 23:16:06,Happy
2025-11-25 23:16:06,Happy
2025-11-25 23:16:06,Happy
2025-11-25 23:16:07,Surprised
2025-11-25 23:16:07,Calm
2025-11-25 23:16:07,Happy
2025-11-26 17:50:44,Calm
2025-11-26 17:50:45,Calm
2025-11-26 17:50:45,Calm
2025-11-26 17:50:46,Calm
2025-11-26 17:50:46,Calm
2025-11-26 17:50:47,Calm
2025-11-26 17:50:47,Calm
2025-11-26 17:50:47,Calm
2025-11-26 17:50:48,Calm
2025-11-26 17:50:48,Calm
2025-11-26 17:50:49,Happy
2025-11-26 17:50:50,Happy
2025-11-26 17:50:50,Calm
2025-11-26 19:28:40,Calm
2025-11-26 19:28:41,Calm
2025-11-26 19:28:41,Happy
2025-11-26 19:28:42,Happy
2025-11-26 19:28:42,Calm
2025-11-26 19:28:42,Calm
2025-11-26 19:28:43,Calm
2025-11-26 19:28:43,Calm
2025-11-26 19:28:43,Calm
2025-11-26 19:28:44,Calm
2025-11-26 19:28:44,Calm
2025-11-26 19:28:44,Calm
2025-11-26 19:28:45,Calm
2025-11-26 19:28:45,Calm
2025-11-26 19:28:45,Calm
2025-11-26 19:28:46,Calm
2025-11-26 19:28:46,Calm
2025-11-26 19:28:46,Calm
2025-11-26 19:28:47,Sad
2025-11-26 19:28:47,Sad
2025-11-26 19:28:48,Calm
2025-11-26 19:28:48,Calm
2025-11-26 19:28:48,Calm
2025-11-26 19:28:49,Calm
2025-11-26 19:28:49,Calm
2025-11-26 19:28:49,Surprised
2025-11-26 19:28:50,Calm
2025-11-26 19:28:50,Calm
2025-11-26 19:28:50,Calm
2025-11-26 19:28:51,Calm
2025-11-26 19:28:51,Calm
2025-11-26 19:28:51,Calm
